timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 15, 2025 @ 06:46:14.273",clavo.ugr.es,Possible kernel level rootkit,11,521
"Jun 15, 2025 @ 05:30:08.892",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 06:35:03.016",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 06:01:38.498",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 06:49:35.138",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 08:00:01.900",hera2,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 08:00:02.163",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 08:00:02.288",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 07:00:02.336",hera2,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 07:00:02.566",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 07:30:02.404",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 06:56:02.296",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 08:00:04.260",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 06:54:49.847",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 07:31:23.444",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 08:04:08.957",clavo.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 07:07:04.920",hera.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 11:20:00.783",clavo.ugr.es,CIS Red Hat Enterprise Linux 8 Benchmark v1.0.1: Ensure the MCS Translation Service (mcstrans) is not installed: Status changed from passed to 'not applicable',5,19012
"Jun 15, 2025 @ 11:00:02.744",hera2,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 11:00:03.796",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 15, 2025 @ 11:00:03.804",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 10:30:03.040",hera2,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 10:30:03.933",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 10:30:03.935",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 11:30:02.468",hera2,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 11:30:03.624",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 11:05:03.032",hera2,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 10:29:27.834",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 11:04:44.805",clavo.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 10:07:14.420",hera.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 11:07:14.160",hera.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 19:00:02.991",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 19:00:03.076",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 15, 2025 @ 19:00:04.985",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 18:00:02.999",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 18:00:03.064",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 15, 2025 @ 16:00:03.675",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 15, 2025 @ 16:00:03.716",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 17:00:03.355",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 17:00:03.367",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 15:00:04.005",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 15:00:04.048",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 17:07:15.824",hera.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 17:07:16.029",clavo.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 16:56:03.216",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 17:56:02.868",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 15:07:14.384",hera.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 22:00:01.976",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 22:00:02.207",hera2,PAM: Login session opened.,3,5501
"Jun 15, 2025 @ 22:05:04.280",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 15, 2025 @ 23:00:03.624",hera.ugr.es,Auditd: SELinux permission check.,3,80730
"Jun 15, 2025 @ 23:00:03.637",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 15, 2025 @ 23:07:16.104",hera.ugr.es,ClamAV database update,3,52507
"Jun 15, 2025 @ 23:16:30.039",clavo.ugr.es,CIS Red Hat Enterprise Linux 8 Benchmark v1.0.1: Ensure the MCS Translation Service (mcstrans) is not installed: Status changed from 'not applicable' to passed,3,19015
"Jun 16, 2025 @ 03:00:05.211",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:05.226",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:05.249",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:05.269",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:07.466",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:07.480",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:07.493",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:07.514",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 03:00:08.764",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:08.786",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:08.790",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:08.806",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:08.817",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 03:00:08.821",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:10.359",hera.ugr.es,PAM: Login session closed.,3,5502
"Jun 16, 2025 @ 03:00:10.365",hera.ugr.es,sshd: authentication success.,3,5715
"Jun 16, 2025 @ 03:00:10.378",hera.ugr.es,PAM: Login session opened.,3,5501
"Jun 16, 2025 @ 03:00:14.554",hera.ugr.es,PAM: Login session opened.,3,5501
